review,stemmed_review,Transaction Efficiency,User Experience,Account Access and Registration,Balance and Charges
Andalan d saat sulit,andal sulit,0,1,0,0
Fitur tramsfer gagal mulu.,fitur tramsfer gagal mulu,2,2,0,0
Terlalu sering g bisa di pakai buat transfer G kayak yang lain jarang ada kendala,terlalu sering pakai buat transfer jarang kendala,2,2,0,0
Tolong perbaiki untuk transaksi dan transfer tidak bisa,baik transaksi transfer,2,2,0,0
buat kirim ke rekening tidak bisa. perbaiki bug nya boss,buat kirim rekening baik bug bos,2,2,0,0
Tf sering gangguan mulu,transfer sering ganggu mulu,2,0,0,0
abis update gk bsa transfer cuu asuuu,habis baru transfer cuu anjing,2,2,0,0
Mau transfer gangguang terus dari semalem kenapa si,transfer gangguang malam,2,0,0,0
Kurang memuaskan pemakaia. Kenapa belanja pakai qris baru brapa kali udah itu gagal terus. Transfer ke bank lain dan sesama ovo pun dibatasi. Tolong di benerin lagi pelayanan nya dan buatlah nyaman pengguna,kurang muas pemakaia belanja pakai qris baru berapa gagal transfer bank sama batas benar layan buat nyaman guna,2,2,0,0
Jelek suka gangguan,jelek suka ganggu,0,2,0,0
Ini kenapa ya ..mau transfer gagal mau scan barcode juga ga bisa .terus gmana?? mengecewakan,transfer gagal scan barcode kecewa,2,2,0,0
ovo knp ga bisa transfer ke bank,transfer bank,2,0,0,0
"Knp saya mau transfef ga bisa2 sih.... Ga jelas banget minta diupdate tapi pelayanan ga bagus. Udh gitu mau laporan ga tau laporan kemana, mau chat admin aja susah",transfef jelas minta diupdate layan bagus lapor tau lapor chat admin susah,2,2,0,0
"Bru di update udh ada pemberitahuan hrus d update dlu, herann dah",baru baru pemberitahuan baru dulu herann,0,2,0,0
Sangat berguna,guna,0,1,0,0
ovo jelek banget,jelek,0,2,0,0
Tolong pertangguan jawab an saldo saya yng sudah terpotong. TPI belum terkirim ke rekening,pertangguan jawab an saldo potong kirim rekening,0,0,0,2
Mau buat akun premium aja gagal mulu sinyal bagus padahal jadi lama dan proses nya gagal mulu .,buat akun premium gagal mulu sinyal bagus lama proses gagal mulu,0,2,2,0
"Aplikasi gak guna saldo ada jaringan bagus, tranfer dari kemarin gagal terus, sampah memang !!!!",aplikasi saldo jaring bagus tranfer kemarin gagal sampah,2,2,0,0
"Aplikasi apaan mau transfer 3 kali aja gak bisa,nyesel gw pake ovo kaya taik",aplikasi apa transfer bisanyesel pakai tai,2,2,0,0
Uang ku berkali2 di sangkut gak bisa cair Terus apgret premium gagal terus Di chat via email proses2 mulu jarang di proses cepet lelet,uang ku kali sangkut cair apgret premium gagal chat via email proses mulu jarang proses cepat lelet,0,2,2,2
Saya mau transfer ko gak bisa sedang norek/an sudah betul biasa gk pernah sprt ini kenapa,transfer sedang norekan betul biasa pernah,2,2,0,0
transfer gagal mohon di perbaiki,transfer gagal mohon baik,2,2,0,0
Transfer belum masuk sudah 1 hari masih loading terus,transfer masuk hari loading,2,2,0,0
aneh suruh masukan email sudah diadd coba lg trs prettt kl udh masuk link autuh masukin email sdh dimasukin suruh coba terus njir,aneh suruh masuk email diadd coba prettt masuk link autuh masuk email masuk suruh coba anjir,0,2,2,0
Gua top up saldo udah kepotong eh saldonya GK masuk ..,topup saldo potong eh saldo masuk,0,0,0,2
Kebanyakan gngguan sering gagal transfer..AP lgi posisi mndesak mau transfer mlah gngguan,banyak gngguan sering gagal transferap posisi mndesak transfer gngguan,2,2,0,0
Nice e wallet,nice ewallet,0,1,0,0
"Aplikasi gak jelas. Gak bisa ngirim saldo ke sesama. Tutup aja usaha anda, atau anda lebih baik mampus saja",aplikasi jelas kirim saldo sama tutup usaha lebih baik mampus,2,2,0,0
Aplikasi sering gangguan yah hanya OVO,aplikasi sering ganggu,0,2,0,0
"Ini apk setiap bulan update terus ,kalo ga pake buat bayar netflix mah udah ga ke pake ini apk",bulan baru pakai buat bayar netflix pakai,0,2,0,0
mantap sukses terus sangat membantu 👍,mantap sukses bantu,0,1,0,0
Baru juga mu dowload komennya udah tidak bagus aplnya. Kata temen temen juga apl ini jelek ada limitny lagi,baru mu dowload komennya bagus aplnya kata teman teman apl jelek limitny,2,2,0,0
"Tidak bisa buat transaksi, Akun Belum Primer.... ada uang ,,, saya ga bisa buat transaksi... Scamm..... semoga aja bangkurt ga iklass saya... uang saya di ambil... Perushaan Penipuu....",buat transaksi akun primer uang buat transaksi scamm moga bangkurt iklass uang ambil perushaan penipuu,2,2,0,2
"Masa pake ovo paylatter ada biaya paylaternya 20ribu wkwkw gede bgt woy, ada pemberitahuan dari grab food kalo bikin akun ovopaylatter dapet potongan makanan 70%, yaudah akhirnya saya buat nih ovo paylatter & bayar makanan pake paylatter, iya bener kepotong tapi pas cek tagihan ada 2 tagihan; 1, tagihan grabfood 2, tagihan biaya paylatter. Ya sama aja ga promo dong.",pakai paylatter biaya paylaternya ribu wkwk gede oi pemberitahuan grab food bikin akun ovopaylatter potong makan akhir buat paylatter bayar makan pakai paylatter iya benar potong cek tagih tagih tagih grabfood tagih biaya paylatter promo,0,2,0,2
"apk usang. makin lama makin gaje, masa pas transaksi mengalami kendala trus anehnya saldo udah ke tf tapi di tempat tujuan gk masuk-masuk saldo nya kan kita kita sebagai pengguna OVO rugi banget. makin kesini makin nyesel pake OVO asli dah",usang makin lama makin jelas transaksi alami kendala aneh saldo transfer tempat tuju masukmasuk saldo guna rugi makin kesini makin sesal pakai asli,2,2,0,0
Aplikasi paling mahal biaya transaksi!!! Tolong untuk biaya transfer ke bank lain diturunkan,aplikasi mahal biaya transaksi biaya transfer bank turun,0,2,0,2
Saya top up kok belum masuk kak gimana ini 1jt lebih lho sudah 5 jam lebih menunggu masih belum masuk juga,topup masuk kak juta lebih lo jam lebih tunggu masuk,0,2,0,2
